chimera	狮头
comparativist	=comparatist
fustigate	抨击
airily	轻盈地
antipyrine	安替比林
scum	被浮渣覆盖
hematoblastic	血小板的
nullipore	珊瑚藻
incalculable	不可计算
pokey	迟钝
peart	快活
luebke	Heinrich即Lubke
succumb	屈从
mopey	消沉
constabulary	警察
schlepp	携带
unclos	the
muzzleloading	前膛装填的
experimentalism	Ik9speri`mentElIzEm/
tidal	定时涨落
schoolman	学校教师
retinol	维生素A
climax	顶点
cervices	子宫颈
barren	空洞的
discursively	东拉西扯地
laudableness	值得赞赏
turner	体育协会会员
caricaturist	漫画家
washstand	脸盆架
way	途中
isodynamic	等磁力的
pretty	漂亮
sympathetic	有同情心的
rebec	三弦琴
adjustive	调节的
girth	腰身
wickedly	顽皮
cogently	中肯
postal	邮局的
chronicles	历代记
isotopes	同位素
complexity	复杂的事物
strain	应变
exploder	爆炸物
zootheism	动物崇拜
paladin	查理大帝
vietnamese	越南人的
lithographer	平版工
hydrochloric	盐酸
cinematographic	电影的
liturgiologist	礼拜仪式学家
teetertotter	玩跷跷板
enthral	迷惑
amaranthine	不凋谢
ringent	张开的
disrespect	不尊敬
iphone	Phone软件
space	空间
metalclad	铠装
flap	鼓翼而飞
collimator	瞄准仪
taler	德国的旧银币名
hoop	加箍于
academe	学会
bract	苞叶
millstream	水车用水流
confer	交换意见
dpt	diphtheria
irbm	range
archaize	用古体
soloist	独唱者
tribade	女子同性恋
wise	聪明的
exoteric	通俗
unbalanced	错乱的
monastical	出家的
usefulness	有用
plumate	具羽毛的
sorrowful	悲伤的
yaguarundi	=jaguarundi
mcp	pig
spr	Research心灵研究学会
chunnel	通道
cover	封面
moreen	波纹织物
riba	皇家建筑师协会
bedaze	令不知所措
kinkled	卷曲
rubescent	变红的
merogony	卵块发育
computerise	=computerize
anathematically	厌恶
erythropsin	视紫质
extrahazardous	危险性特别大
homoplasy	同形
tell	泄密
alloimmune	同种免疫的
samely	千篇一律
inturned	性格内向的
indention	凹痕
revulse	使极其厌恶
anhui	安徽
togoland	多哥兰(西非一地区
bloated	浮肿的
pothead	瘾君子
peaked	尖
antiforeign	排外的
cpaffc	中国人民对外友好协会
colossi	阿波罗神之巨像
explanation	辩解
anopia	无眼
spiritist	招魂术者
forcible	有说服力的
foliiform	叶状的
restrictive	限制性的
ricard	茴香调味开胃酒
liquefactive	液化的
spiritualism	唯心论
lone	独立
phelloderm	绿皮层
entomophily	虫媒
hemiglobin	变性血红素
matted	无光泽的
rechoose	再挑选
scabiosa	山萝卜属植物的一种
stadia	视距仪器
uncovered	无盖的
unduplicated	无法模拟的
demisemi	四分之一的
humble	谦逊
ptolemaism	天动说
vaporware	雾件
administrant	管理
ukulele	夏威夷的四弦琴
brandade	奶油烙鱼
gag	禁止
ghastliness	可怕
zymosis	发酵病
chemurgy	农业化工
ophthalmic	眼的
folksy	和气
microstomatous	小嘴
breathless	死的
coyly	羞怯
white	白色
testacean	贝壳类的
resinous	含树脂的
fremd	陌生
nodosity	多结节
diametrically	作为直径
header	报头
amebic	阿米巴的
factum	遗嘱的正式订立
monzonite	二长岩
capris	女用紧身裤
uppercase	大写字母盘
considering	考虑到
sterilize	杀菌
abbreviationist	提倡缩写字的人
throat	口子
recommendation	劝告
spackle	填泥料
injective	单射的
clypeiform	圆盾的
bennet	一种水杨梅
humiliatory	蒙羞
nonpathogenic	非病原的
shoaly	多浅滩
compassable	可绕的
iil	logic
rushing	旺盛的
sublimely	高尚地
vsam	Virtual
ruskinize	实践罗斯金的艺术信条
sedentary	土生的
fibrinous	纤维蛋白的
monstrous	畸形的
dispositioned	有某种性情
str	thermal
proteiform	易变形的
tomism	汤姆叔叔主义
staff	棒
boiler	锅炉
san	Storage
pulsator	搅拌器
divaricator	分叉物
sniffy	自命不凡的
leprosery	=leprosarium
utilitarian	实利的
gemel	双生的
educt	离析物
wonted	惯例的
atavistic	返祖性的
dustman	清洁工
offensively	不愉快地
amoy	厦门
whopper	弥天大谎
contradictious	吹毛求疵的
equipment	才能
rejuvenate	使恢复活力
contaminant	污染物
adsorbate	被吸附物
slidden	slide的过去分词
explanans	词的意义
chaste	有道德
uncultured	落后的
consenter	同意者
jostle	争夺
tetrastich	四行诗
quakerish	像贵格会教派的
cuboid	立方形
bittock	一点儿
explication	说明
chelonian	龟类
neuromuscular	神经肌肉的
causation	发生因果关系
terminative	结束
plated	镀金
terrine	沙锅
thermolabile	不耐热的
stellated	星状的
calipers	测径器
antiballistic	反弹道
koodoo	条纹羚羊
unprophetic	非预言
overperform	偏离剧本表演
hoofed	有蹄的
ashes	尸体
pinnated	翼
pli	pounds
hiaa	Insurance
cres	新月
sympathetic	容易感受的人
anticly	奇怪地
glaucoma	青光眼
stp	Tree
extinguish	偿清
constringe	压缩
belting	制带的材料
needlebook	插针垫
when	就在那个时候
belgravia	其生活
animistic	万物有灵论的
syllabary	音节文字表
desexualize	阉割
raffish	名誉不好的
irresponsive	无反应的
dismoded	过时的
ailurophobia	惧猫症
onionskin	洋葱皮
stage	驿站
sucker	乳儿
oversee	监视
disorganized	无组织的
reclame	沽名钓誉
hyperbolize	用夸张法表达
bibliotics	笔迹鉴定学
trappy	艰险
whiting	白粉
endarterectomy	动脉内膜切除术
obtrude	打扰
decrepit	衰老
extraversive	=extroversive
proser	散文般的
fuze	保险丝
windbreak	防风林
delawyer	不需律师就可进行
tectosilicate	网硅酸盐
auralize	想象……的声音
whitepox	轻型天花
exility	纤细
pronate	将手掌转向下
prosopopoeia	拟人法
whim	奇想
inconveniently	不方便地
rawhide	用生牛皮鞭抽打
downhouse	美国南方的
obvious	明显
recollection	回想
labellum	唇瓣
telecommunication	satellite//5keIFn/
anomic	没有目
transformative	有改革能力
kilobaud	千波特
theater	剧场
unpeaceful	不和平的
sudanese	苏丹的
blandly	温和地
indolent	懒惰
cose	谈心
kumbaloi	beads
gambrel	踝关节
aurify	镀金
dramaturgy	演出法
jaded	疲倦不堪
wins	Windows
remit	免除
parergon	副业
marxist	马克思主义者
kennelmaster	养狗场管理员
antoine	安托万
reduced	减少
phosphoresce	发出磷光
unobjectionable	不惹人讨厌的
godless	不敬神
underprivilege	QndE5prIvIlIdV/
elginshire	埃尔金郡(即默里郡
auric	金的
ferrate	高铁酸盐
relume	重新照亮
fully	至少
unstatutable	不符合法令的
unbiblical	不按照的
subversion	颠覆
pid	比例积分微分
channelize	疏导
deathful	致命的
forced	被迫的
woomera	=womera
conceivable	可能的
aluminiferous	产铝的
word	话
untold	未透露
triphenylamine	三苯胺
virulent	有病毒
oppidan	城里人
fennelflower	黑种草
crus	似小腿或后腿形状的构造
precinct	界限
iatric	医药的
swimathon	长距离游泳比赛
stivy	塞满
routine	日常事务
floriate	用花叶装饰
unbrotherly	不友爱的
pully	具吸引力的
acescent	变酸
smart	敏捷
paint	画
tetraxial	有四个轴
cca	communication
candela	烛光
septemia	=septicaemia
underclothe	给……穿内衣
scanty	俭省的
frcp	the
fiduciary	基于信用的
assign	分配
vitamin	维生素
chainless	无链
pernoctate	熬夜
driveability	驾驶性能
alcor	北斗七星中的第五等星
troat	叫春声
sphenoid	蝶骨
inferrible	可推断
stolid	不易激动的
plute	富豪
flank	军队侧翼
overgarment	罩袍
cocaine	古柯碱
temperamentally	气质地
irritative	刺激性
dutiful	忠实
neolithic	新石器时代的
sonorously	响亮
coeliac	下腹的
ironbound	坚硬的
impairment	损伤
psychosomatic	受心理影响的
parsimonious	吝啬的
levanter	逃赌债者
disembodiment	脱离
repulse	反驳
ecofallow	土地生态休闲法
mirable	令人惊叹的
homonymous	同名的
obstreperous	喧嚣的
poor	贫穷的
flagellated	生有匍匐茎
laze	消磨
ocd	of
antitoxic	抗毒素
gowan	春白菊
excommunicable	可革出教会的
spiky	大钉似
ranine	舌尖以下部份的
vociferously	喊叫
chalybeate	含有铁质
queerly	奇怪地
spear	矛
vagabond	流浪
styracaceous	安息香料的
unwavering	不动摇的
lactescency	乳汁状
aerofoil	风板
autofocus	自动聚集
aconite	从乌头的根提炼出的强心止痛剂
affluent	富裕的
yamato	日本民族
thumbprint	个性特征
lay	世俗的
blame	过失
nephric	肾的
juggle	魔术
cenozoology	当代动物学
junky	吸毒者
fissure	裂缝
frondescent	多叶
headwear	吊索
nice	挑剔
acidimetry	酸量滴定法
fris	Frisian
serious	严肃
valiant	英勇
gory	血污
purin	嘌呤
beneficent	善行的
clasp	扣子
ferrotungsten	铁钨
nous	理性
roomily	广阔
ptfe	ethylene
sweetstuff	糖果
desterilize	解禁以供发行货币之用
intergalactic	银河间的
acellular	非细胞的
cansure	非难
excite	兴奋
reagency	反应力
neutral	无确定性质的
nira	Industrial
outscorn	以轻视制服
endothermal	吸热
cedrol	雪松脑
paraphrase	解释
corruptibility	堕落性
nllst	and
decubitus	卧姿
ungated	无门
residually	剩下地
enveigle	诱惑
occupational	职业的
tahsildar	税务员
adipocellulose	脂纤维素
devoid	全无的
intravital	发生于活体内
vasculitic	脉管炎
exceptionable	要不
concertino	小协奏曲
tacky	缺乏教养或风度
greyhound	灰狗
canorous	音乐般的
areologic	火星科学研究的
aulic	宫廷的
wesley	韦斯利
whistle	吹口哨
extra	额外
lipotropy	亲脂
duplicate	两倍的
frier	煎锅
reoccupy	再次出任
journal	航海日记
trecentist	十四世纪意大利文学家、美术家
osf	St
catacombs	陵寝
meshugga	失常
underpitch	低坡穹窿
irradiant	光辉的
spontaneously	自然
brow	眉毛
pubsy	酒馆的
metapsychical	心灵学
dunnage	日常用品
chime	一套发谐音的钟
stilly	默默地
bravissimo	Ⅰ
biangular	双角
wearily	无聊
schist	片岩
incentre	内切圆心
stormy	暴怒的
recover	恢复
educe	唤起
skyjacking	劫机
prosocial	忠实于既定社会道德准则
inn	旅馆
subgum	素什锦
redirection	重寄
unglue	拆开
temporal	时间的
earplug	耳塞
dysaesthesia	感觉不良
bathless	无浴室
astounding	令人惊骇
petard	攻城炸药箱
odontoid	齿状
veteran	老手
helcosis	溃疡形成
helpmeet	合作者
bedclothes	铺盖
frequency	周率
phosphatidyl	磷脂酰
filaceous	丝质的
quadrate	使适合
soligenous	由地面水流入造成
irrepressible	镇压不住的
foulmouthed	出言不逊的
pasta	意大利面制品
superdreadnought	超无畏级战舰
judaeophil	对犹太人友善
formic	蚁酸
following	其次
ultrabasic	超基性的
nitrification	氮饱和
foreigner	外地人
aggeus	=Haggai
larger	多量
capitulaitonist	投降者
fix	注视
feoff	授予封地
frenzied	狂乱
numbers	民数记
quadruply	四重地
archwise	拱廊似
specky	有瑕疵
fodgel	矮胖
vervet	东南非洲产之一种小猴
clampdown	压制
beslobber	使满身口涎
titillation	搔痒
ndis	Specification
encomiastic	赞颂的
mizz	=miz
diallel	双列
unconscious	无意识
upturned	朝上
undreaded	不被畏惧的
obfuscate	使模糊
lev	列弗
neutral	中立国的
insolvency	无力偿还
zooplankter	浮游动物
gey	可以的
boggy	沼泽多的
excommunicable	应革出教会
retzina	=retsina
xslt	XSL
edacious	贪婪
level	平坦的
eccentrically	反常
goitre	肿物
readout	读出器
photoinduced	光诱导的
break	暂停
upgrade	上升
onion	洋葱
humanity	人类
idahoan	爱达荷州人
wild	野蛮的
walk	行道
retrieval	恢复
extract	吸取
pietistic	虔信派
aero	飞机的
reintroduce	再提出
motley	杂色衣服
lace	缎带
or	或
registrar	登记员
tlo	全损险
alarmism	危言耸听
unselfishly	不自私地
rurales	墨西哥乡村骑警队
rhizotomy	神经根切断术
spool	所绕的数量
habitation	生活环境
deep	深奥的
anetic	弛缓的
undp	Nations
quinin	奎宁
them	她们
vaccine	疫苗的
hydroxytryptamine	=serotonin
iupap	Physics
vibriocidal	杀弧菌
gastraea	原肠动物
etcetera	以及其它
pyramidwise	成角锥形地
precise	精确的
contaminated	污染
cornball	似乡巴佬
chicana	女奇卡诺人
smoothness	平坦
keypunch	用打孔机打孔
bismillah	真主啊!
graphospasm	书写痉挛
gaul	高卢人
consequent	随之发生
egomaniac	极端利己主义者
quillet	搪塞
inescapably	逃不掉
ricebird	禾雀
advisability	明智
communally	社区
sarcastic	讽刺的
matting	席
cave	凹陷
poussette	环舞
hectoliter	百公升
unconvince	使不信服
choreatic	舞蹈症
unequally	不相等地
braze	用黄铜镀或制造
blobberlipped	嘴唇肥厚
infarcted	梗塞
ronggeng	龙根舞
chronicle	编年史
loco	疯子
sapient	聪明的
choking	透不过气来
kernelled	有核仁的
checkbox	检验栏
marblehearted	冷酷无情的
confirm	使巩固
dexterously	敏捷地
mezzo	适中的
latifundia	latifundium的复数
germinant	发芽的
charnel	似停尸房的
obscurity	朦胧
inobservantly	不注意地
ragger	恶作剧者
reputable	著名的
jacksonian	美国第七任总统杰克逊
antherozoid	隐花植物之游动精子
valor	勇猛
methodize	使有条理
cumulative	累积的
hunger	饥饿
dentolingual	齿舌音
newfoundlander	纽芬兰船
elegiac	挽歌
mingily	小气地
hendecasyllabic	十一音节的一行诗
swanskin	天鹅皮
southing	中天
appropriative	专用的
underhung	有突出下颚
lapsible	易变
exserviee	退伍
cilice	粗毛布
visitation	天罚
workalike	软件通用型
ogham	欧甘碑文
siamese	暹罗的
slub	轻捻
servo	伺服
imaginative	虚构的
tribophysics	摩擦物理学
pyroligneous	干馏木材而
peloria	反常整齐花
annunciate	通告
epigene	外成的
asbestus	石棉
impersonalism	非人格主义
philologize	研究语言文献
obstructive	妨碍的
lynch	私刑
teentsy	小小的
protopope	主教士
micromethod	微量法
naturalization	移入
pat	恰好
limited	有限的
lrv	roving
catamite	受鸡奸的男童
microbial	由细菌引起
curatory	管理人或监护人之团体
thecodontian	=thecodont
feel	试探
moronic	鲁钝的
scherzando	诙谐的
nondiscrimination	一视同仁
applicable	可适用
labial	唇的
manx	马恩岛人
indicial	表示
tortoiseshell	龟甲状
tentage	帐篷
counterblast	强硬的抗议
faculty	权力
taleteller	揭人隐私者
gasometric	气体定量分析
dos	磁盘操作系统
aid	帮助者
whomsoever	whoever的宾格
aspheric	非球面的
technically	技术上
rheogoniometry	流变测角法
terminally	末尾
gasthaus	酒店
infertile	贫瘠的
stub	烟蒂
nonrated	非军士级
gravy	肉汤
alphonso	阿方索
imagic	形象的
hindostan	=Hindustan
sylvester	西尔威斯特
bott	肤蝇的幼虫
withdrew	withdraw的过去式
vic	V字队形飞行
stallage	摆摊用
snooty	鄙视别人
encephalic	头的
cpsu	Soviet
clothback	布面书
hecatomb	大屠杀
tragical	悲剧性
bummer	乞讨者
genuflexion	跪拜
stroke	一笔
genitival	属格形的
gosplan	前苏联国家计划委员会
transformation	IFEnIst/
parody	拙劣模仿
stressable	可重读
recheat	召唤猎犬的号声
conclusive	决定性
scribal	抄写的
haemostatic	止血
padre	随军牧师
attestant	证明的
macabre	以死亡为主题
quaestor	刑事推事
m	……月后之同日
amort	濒于死亡的
unsolder	分离
explicitly	明白地
mugwump	酋长
aspuint	侧目
square	四方
hypothalami	hypothalamus
venerable	古老的
sponsor	主办
smart	潇洒
image	形象化的比喻
harmonist	对照研究家
hydrodynamics	流体力学
wreckful	造成失事的
squally	起风暴的
preglacial	冰河期前的
rudderless	无指导者
aerosol	烟雾剂
hydrogasification	临氢气化
snood	用发网束发
adoptionism	嗣子说
iatrogenic	因医生的治疗而引起
selectee	征召员
hatchel	麻梳
pitchman	摊贩
sacrifice	献祭
fluridizer	氟化剂
unglamorous	没有魅力
behindhand	落后
parlour	营业室
laval	像熔岩
seaquake	海震
quercine	栎树的
atmolyze	以微孔分气法分离
cabbage	卷心菜
upcast	向上的
soldierlike	有军人样
catechesis	口授经文教理
schmaltz	伤感主义
bloodshot	充血的
corresponsively	相当地
swash	泼水声
overdress	穿得太讲究
strangulate	勒死
love	爱
deadborn	死产
dietetics	营养学
pterosaur	翼龙
unsullied	清白的
unfirm	松散的
pithecanthropus	爪哇直立猿人
landowner	地主
refundable	可偿还
hippopotamus	河马
volubilate	缠绕的
sequential	结果
jade	碧玉
periodical	周期
deepfreeze	低温冷藏
minable	可开采的
fendillate	多处微裂
mesenchymatous	间叶细胞的
ludditish	勒德主义
weeknight	周日夜晚
contractible	会缩的
toddle	刚学走步的小孩
half	半途的
scuncheon	边框内侧
infertile	不结果实的
ruling	占统治地位的
greenstone	软玉
strict	严厉的
convergent	收敛
errhine	催嚏
photosurface	光敏面
unpresentable	不像样
quina	金鸡纳树皮
prosperous	繁荣的
mortification	羞辱
glidingly	滑顺地
shading	明暗法
female	女人
gnotobiology	=gnotobiotics
rough	大体描述
docetic	幻影说信徒
unassured	不确定
unhappen	使不发生
wisdom	名言
sanctorium	圣庙
namable	著名的
survey	视察
sore	痛心
suety	肥油
allred	全在大英帝国版图内
chrominance	色度
steamtight	汽密的
join	参加
siren	空袭警报
gripe	苦恼
burglar	夜贼
photocomposition	照相排版
foldout	折页
dnb	Biography
ruga	皱褶
pantological	人类全部知识的
elf	淘气鬼
cassini	卡西尼
surrender	听任
epeirogentic	造陆作用的
foredone	筋疲力竭
paleethnology	=palaeethnology
shroud	隐藏
unselfish	不自私的
yearn	渴望
jovial	快活的
damfool	非常愚蠢的
quadripartite	分成四组
burglarious	窃盗
fix	方位
winterless	没有冬天的
cablet	英寸以下的九股扭成的钢索
dipterous	双翅类的的
puparium	蛹壳
souse	变醉
chazan	独唱者
boltonia	波菊属植物
rotatee	轮调休假之军人
kindergarten	幼儿园的
unveracious	不诚实
ashy	灰的
lamellate	有薄层的
hygroscope	湿度计
primulaceous	报春花科
fatter	胖的
multibucket	多斗的
carpus	手腕子
condolent	慰问的
dozy	想睡
tyler	泰勒秘密会所看守人
ancona	安科纳
undoubled	不再对折的
cracker	饼干
whimsey	怪念头
galess	不易生气的
precautionary	预防的
legman	资料搜集助手
fraulein	小姐
varsity	大学
msie	工业工程学硕士
cystostomy	膀胱造口术
nestlike	窝似
multitude	多数
dobe	=adobe
ataxic	共济失调
special	特殊
ratton	耗子
doings	活动
implausible	难信的
cybernetical	控制论
muzzleloading	前膛装填
sceptre	王权
lepidote	覆有鳞片
coordinate	同等
untoward	不幸
sum	金额
intervale	丘陵间低地
thankworthy	应该感谢的
ptomain	尸碱
ignuts	笨人
bromine	溴
jubilant	喜悦
superscalar	超标量体系结构
counterpoise	使平衡
vine	葡萄树
lunarite	月球上高地表面
ss	纳粹党卫军
keeled	备有龙骨的
probe	探查
kicksorter	脉冲振幅分析器
brumous	多雾的
diastyle	长距列柱式
iconography	肖像画法
flimsy	不足信
unlovely	丑的
bismuthic	铋的
numberless	无号码
coxal	基节
unsaturated	没有饱和
midcult	中产阶级文化
vile	可耻的
scheduling	时序安排
craftsman	艺术家
entomotomy	昆虫剖析学
wring	强求
itinerant	巡回的
cruor	凝血
thermometrical	寒暑表
richwin	四通利方汉字系统
concretization	具体化
waterlocked	环水的
dyschizia	大便困难
loanda	=Luanda
stealthily	暗地里
offender	冒犯者
lifeful	充满生气的
filibuster	掠夺
furunculoid	像疖疮
nape	颈背
masseter	咬肌
parliamental	=parliamentary
plumose	羽毛状的
enthralment	沉迷
arm	武装起来
squinny	斜眼看
descensive	下降
pop	取出
subterminal	接近端点的
baathist	叙利亚社会党
stop	逗留
drum	鼓
horsecar	轨道马车
rhodium	铑
unthanked	不被领情的
neuter	不及物的
imputable	可归因的
imputation	非难
massacre	集体屠杀
bungle	办糟
nullarbor	纳勒博平原
traditional	口传的
atingle	疼痛的
excogitation	设计
igmp	Internet组管理协议
tramontane	来自群山彼边的
tithable	课十分之一税
thailand	泰国
ultrathin	超薄
endurance	忍耐
cephalochordate	头索动物
usb	通用串行总线
usufructuary	用益权
capable	有能力
radiomimetic	类放射
gainless	一无所获
coony	狡猾
parian	帕罗斯岛
bomb	炸弹
waste	被损耗
bin	二进制文件的扩展名
insincerely	不诚实
densimeter	比重计
hortative	劝告
lotta	许多
absorbency	吸收性
corrodent	刻毒
activism	行动主义
marsupial	有带动物的
revulsive	诱导剂
radiotherapist	放射线治疗医师
chipboard	硬纸板
process	过程
perspective	远景
columbarium	骨灰安置所
granular	粒状
oxytocin	脑下垂体后叶荷尔蒙之一种
sumph	胆怯的人
irrepealable	不可废除
faintish	较弱
simp	笨人
condor	秃鹰
unfastidious	不过分讲究的
recherche	异国风味
treasuryship	司库
edd	English
injuria	侵犯权利
strigillose	被硬毛
contrasuggestible	抗暗示的
fallen	伏
boondoggle	细小而无用的事
teg	二岁雌鹿
seamount	海山
rotiform	轮状的
inlet	进口
portly	魁伟的
basely	卑鄙地
vitellophag	消黄细胞
trackwalker	保养或检查铁路的人员
gin	杜松子酒
thousand	一千个
alchemically	炼丹术
radiotelegram	无线电报
absent	缺少
cercopithecoid	猕猴科的
unprincely	不高贵的
purl	潺潺声
tinkler	会发出清脆的声响的东西
standard	权威
volute	涡形花样
corrupt	被破坏的
interestingly	有趣地
perceptron	感知器
ketogenic	生成酮的
osprey	鱼鹰
interprovincial	各省之间
sac	=Sauk
isobarometric	=isobaric
brisk	凛冽
thermonuclear	高热原子核反应
lacunar	花格平顶
anglian	盎格鲁族人
enumerably	可列举
heartbreak	难忍的悲伤或失望
dhtml	动态HTML
palsa	穹形泥炭丘
uterectomy	子宫切除术
waterlogged	涝的
younker	少年
canada	加拿大
dividend	额外津贴
choosy	慎重选择的
stuff	填满
rga	皇家要塞炮兵
bulbous	球根
manful	勇敢的
excitation	激励
impleadable	控诉
hepatic	肝的
sumptuously	豪华
diacid	二酸的
doings	行为
brawn	膂力
yep	是
futuramic	未来型
corinto	科林托
peripeteia	情节的突然转变
period	经期
equal	等于
macabre	以死亡为主题的
celebes	西里伯斯岛
plumbeous	沉重
affreight	租船运货
bedbound	卧床不起
periselene	=perilune
turbot	大比目鱼
winterclad	穿冬装的
mesothelial	间皮的
gamopetalous	花瓣相连
revisit	重游
spymaster	间谍组织的首脑
firewatcher	火灾警戒员
nitrolic	硝基亚硝基化成物
tremulously	发抖
endogastric	位于腹中
amimeche	Associate
yummy	美味
crystalloid	结晶的
cladding	覆层
bilayer	双分子层
hyperacid	胃酸过多的
flan	果馅饼
undiscerning	无眼力的
sbm	moor
will	愿意
vellum	皮纸文书
fabricate	制作
gammon	欺骗
comusmacv	Commander
conformance	顺应
stanvac	Standard
chronopher	电动报时器
triunity	三位一体
tricksy	恶作剧
kuchen	糕点
mtu	移动式测试装置
visitatorial	巡视的
tyrannously	暴虐
graywacke	硬砂岩
lichenaceous	青苔般的
disaffirm	废弃
tensiometry	张力测量法
diphthongal	连字
arsenious	含砒素
intertrigo	擦烂
voluminous	体积大的
ric	Chemistry
explorative	探测
courageous	勇敢的
disgust	嫌恶
sorbian	索布人
wangle	骗取
epithetical	浑名的
northwest	西北方
hunt	狩猎
teratogen	畸胎剂
digitalis	洋地黄
abroad	差得远
aphlogistic	无火焰的
nomology	法则论
necromimesis	装死
confer	协商
reseed	再播种于
embracive	无所不包
postal	邮政
somnial	梦
reasonless	不理智
painsworthy	值得下功夫的
topographic	地志的
parlor	店营业室
lunation	阴历月
electrotonic	电紧张
seraphic	六翼天使的
crescive	增加
impostor	冒名顶替者
alveolate	有肺泡
worthily	重要
cadre	干部
lambaste	痛打
qbe	example
inescapably	逃不掉地
container	容器
unprophetic	非预示的
radicidation	辐射灭菌
slashing	苛刻
flush	使惊飞
vedalia	澳洲瓢虫
hateful	讨厌
attend	参加
gammadion	希腊十字形
craggy	多峭壁
hypergamy	与相同阶层的人结亲
subtangent	次切距
uncontroverted	无争论的
salween	萨尔温江
commence	开始
mrcp	College
accustomed	通常的
easiness	从容
punctatim	逐点地
supersecret	绝密的
sdcd	Super
algebra	代数学
calash	带篷马车
goral	喜马拉雅斑羚
generic	普通
trashy	垃圾似
arguably	正如可提出证据加以证明的那样
trivalency	有三价不同的原子价
hierograph	=hierogram
whippletree	马车前端用以系曳绳的横木
saffron	桔黄色
utter	绝对的
goggle	瞪眼的
penitent	悔过
clem	使苦
oho	嘲弄时所发声音
luzern	=Lucerne
tartar	酒石
uncrate	打开……的包装
aeroallergen	高空过敏症
dextral	右旋
skep	篮子
loud	喧吵
centralized	集中
dens	牙齿
walloping	极好
disconnexion	切断
reimposition	重新征收
serodiagnosis	血清诊断
dossy	漂亮的
tab	在……饰以小垂片
projectile	发射
season	调味
nictitate	眨眼
usv	美国志愿兵
observational	观察的
iatrochemical	化学疗法的
convulsion	痉挛
toilworn	憔悴的
adlittoral	浅水
wtc	Trade
industrialism	工业制度
whipcord	马裤呢
ritually	依据仪式上
tureen	盛汤的碗
malignant	恶性
plo	巴勒斯坦解放组织
tolerationism	容忍主义
vulnerate	使受伤
quodlibet	杂乱的混成曲
victualage	食品
cleanout	清洗
veneto	威尼托区
askew	歪斜
wander	漫步
thin	空洞
confide	委托
protocol	草案
enology	葡萄酒酿造学
nonentanglement	不卷入
provoke	驱使
clasp	扣紧
weather	使受风吹雨打
wry	歪斜的
holophytic	自养的
subway	地道
bleary	眼睛模糊
teakwood	柚木木材
cyclone	旋风
catnap	打瞌睡
coolville	极好
desire	请求
ransom	勒索赎金
passee	已过盛年的
dismally	阴暗地
spanaemia	=anaemia
duodiode	双二极管
dishonor	不兑现
recalculate	重新计算
nonreduction	非减数
cerebration	用脑
equitable	公正
underseas	海面下
velour	丝绒
epigenous	上面生的
featherbedding	额外雇工
trial	考验
baalism	偶像崇拜
guttulate	有滴状斑点
pyritic	硫化铁矿的
thermosetting	热硬化性
wally	大的
consonantal	辅音
volkswagen	大众汽车
droopy	无精打采
coset	陪集
polytonalism	多调法
messianic	救世主似的
amban	办事大臣
involvement	包含
serology	血清学
isotonic	等分的
hydrolyse	=hydrolyze
wattless	无功的
disobedience	不服从
plutocratical	财阀政治
universality	一般性
zealotic	狂热的
manganous	二价锰
delible	可除掉
grandisonian	葛兰狄生式的
talgo	泰尔戈车
smeltery	冶炼厂
skeesicks	=skeezicks
uncomfortable	不舒服的
coalbox	煤箱
diagrammatic	概略的
vachel	维切尔
thropple	咽喉
tonsillectome	扁桃体切除器
rheumy	潮湿的
quitrent	免役税
counterdeclaration	反对声明
resurrect	复兴
griselda	女子名
needlestone	金针状结晶矿石
arrowroot	竹芋
presell	向……预售
metrazol	卡地阿唑
latke	马铃薯饼
drecky	极糟糕的
neighbor	邻国
promoter	助长者
lordosis	脊柱前弯症
nightdress	女睡衣
fulsome	过度的
euthenics	环境改善学
standaway	不贴住身体
sonarman	声纳操纵员
c	of
dialogically	对话地
proof	有耐力的
ditheism	善恶二神论
hummock	冰群
blunderhead	笨头笨脑的人
crossbreed	杂种
conjuncture	事态
heavily	沉重地
award	判给
dobber	浮子
simpleminded	率真
claustrum	屏状核
decretal	教令集
possessory	所有
imitability	可仿制的
underwent	undergo的过去式
aeronautic	航空的
unwalkable	不能行走
somerset	=somersault
reoffer	再开始
alexandria	亚历山大大帝
bicker	流动
fertilizable	可受精
candid	率直
downtrodden	被压制的
rhizanthous	从宿主根上开花
mahdi	救世主
monroe	门罗
unsicker	不安全的
antineoplaston	抗肿瘤物质
underwriter	保险商
bnoc	British
wafery	象薄脆饼似
chatelaine	乡间别墅的女主人
claudian	克劳狄族人
mastiff	大驯犬
quadriplegia	四肢瘫痪
overcentralized	过于集权
bondstone	备用石
rylean	赖尔理论的
perborax	过硼酸钠
cosily	舒适
euryoky	=euroky
trimuon	三μ子
vaticanism	教皇至上论
malleable	有延展性
party	随行人员
embalmment	防腐处理
meander	曲流
hyposulfite	次硫酸盐
polytene	多线性的
coaly	含煤的
ablatival	离格
rookery	白嘴鸦的群居地
sackless	软弱无能
laywoman	的女性形
vintage	过时的
synodal	会议
fivescore	一百的
comber	梳者
recessional	退场的赞美歌
samite	中世纪时的一种锦绣
guadalcanal	瓜达康纳尔岛
flap	飘动
hyperactivity	活动过度
anxiously	不安
isochromatic	整色性
ultramicrometer	超测微计
benediction	祝福
loyally	忠诚
maid	少女
retractile	收缩的
doughtily	勇敢地
