saltimbocca	意式煎小牛肉火腿卷
unhesitatingly	不踌躇
sternutatory	催打喷嚏
kite	象风筝一样飞
premaxillary	颌骨前的
saying	话
coha	Hemispheric
pinup	受欢迎
intrepidly	勇猛地
vein	血管
capitalizable	可作资本
trying	令人厌烦
contemporaneity	现代的
negativity	否定性
aeolian	风的
tackle	扭住
diaspora	向国外散居
greenockite	硫镉矿
motherhood	母性
salomonian	所罗门的
microcosmic	微观世界的
pericarp	果皮
quackish	胡吹
amenable	有责任
largo	缓慢的
hayrick	草垛
impressiveness	令人注目
behar	=Bihar
girly	合适少女的
unestablished	尚无成就的
diphthongization	复元音化
homocentric	同心
uncover	揭开
kettle	罐
dispatch	分派
unseconded	无人后援
base	基础
runover	转页部分
physiographic	地形学的
micros	微指令
mesopotamia	美索不达米亚
spinulous	=spinulose
architecturally	建筑上
statedly	壮观地
desire	心愿
menhaden	鲱鱼
inkpot	墨水壶
half	半途
balanced	平稳的
discipular	崇奉者
favorite	特别喜欢的人
grassplot	庭园青草地
pontlevis	吊桥
hieratic	僧侣的
lanuginousness	盖满绒毛
pasture	放牧
cosign	联合署名
gramineous	似草的
woody	木制
rap	使着迷
trypanosome	锥体虫
unwarrantable	无法辩护
jehangir	贾汗季
fremitus	震颤
nizam	土耳其正规军的士兵
heartrending	悲惨的
disbud	摘去嫩芽
candied	糖果
erythorbic	异抗坏血酸
vernally	青春地
azure	碧空
begrudge	羡慕
stonecast	投石的距离
clubroot	棒状硬化根
renominate	再提名
rippling	起涟漪的
doing	做
walking	步行
interscapular	肩胛间
noncarcinogenic	不促成癌的
forenoon	午前
debasement	降低
soberly	冷静地
pecorino	羊乳干酪
flabbiness	无气力
supervisee	被管理者
breviary	缩略
embryotic	未成熟
ialc	chart
pueblo	印第安人村庄
noncampus	不在固定校舍上课的
vri	Imperatrix
sole	鞋底
fully	完全地
hovertrailer	气垫拖运车
supranational	超民族
hen	雌鸟
hg	百克
actuator	激励者
nte	National
sanitarian	保健
relegate	提交
gutter	槽
imperfectible	无法致于完美的
washtub	洗衣盆
stardust	星团
appurtenant	从属物
mill	制造厂
amenity	礼仪
protectory	育幼院
cyberculture	电脑化社会
elves	爱恶作剧的孩子
mortally	凡人般地
exhalant	蒸发管
apivorous	以蜜蜂为食
work	机件
overthrust	逆掩断层
scrappy	杂凑
ultracritical	过于批评的
proteoglycan	蛋白聚糖
verily	实在
tuck	卷起
emmenagogue	通经剂
browbeat	吓唬
syllabification	按音节的发音
heimisch	不装模作样
darbies	手铐
frigging	受诅咒的
grits	粗磨粉
spider	设圈套者
cordial	兴奋性饮料
concourse	场所
ericaceous	杜鹃科的
amain	全速地
pellagrous	玉蜀黍疹
jubilation	庆祝
disfavour	冷待
petropolitics	石油政治
throatily	嘶哑
chillout	供暖不足
unwatched	被忽视
exceptant	以外的
phototransistor	光敏晶体管
semisomnus	半昏迷
unprejudiced	没有成见
scent	嗅觉
supermanly	超人
metasome	新成体
evangelicalism	福音
quit	放弃
apodia	无足
carry	支持
spicebush	西美腊梅
ovl	覆盖文件的扩展名
scrawny	瘦脊的
meliorable	可改进
protestant	新教的
palermo	巴勒莫
styptical	止血的
mottramite	钒铜铅矿
rarefied	纯净
unmanly	无男子气概
needlessly	不必要地
stratal	地层的
bumpety	猛烈地
vulnerary	医治创伤的
fusil	轻型燧发枪
decimal	十进
galess	无胆汁的
parity	奇偶
converse	逆行
nitrous	氮的
spirivalve	有螺状壳
suburbicarian	罗马市郊
mirror	映出
wince	退缩
unspell	解除……的魅力
unweighted	不被认为重要的
electrophoresis	电泳
fixer	把事情暗中完结的人
beata	受赐福之妇女
kosher	犹太教所规定允许的
epixylous	木上生的
surtout	男用外套或大衣
kutaraja	哥打拉夜
supercolossal	极大的
diborane	乙硼烷
staple	把……分类
ecstatically	心醉神迷地
milankovich	米兰柯维奇理论
outstay	逗留得比……久
piauf	皮奥伊州
indefatigably	不屈不挠地
sitebuilder	微软的WWW开发软件包
sheepshead	红鲈
splenic	脾脏的
tipsy	倾斜
simulate	假装
lignicolous	长在树上
spicy	有风味的
sclerotioid	菌核
rheumatoid	患风湿症的
jorum	一大酒杯
embedded	深入的
wassail	为……干杯
contradictory	矛盾因素
anticoagulate	防止……凝血
umlaut	元音变音
handle	运用
paripinnate	偶数羽状
pinnatipartite	羽状深裂的
impressionistic	给人深刻印象
cover	掩饰
stigmatize	诬蔑
praxis	实践
fruition	享用
nomothetic	制定法律
weird	怪异
aboil	激烈的
equally	平等地
mitigation	减轻
gdmo	Guidelines
medley	拼凑
exfiltration	溜出敌军阵地
exosmic	外渗的
tumult	混乱
byob	own
monkeyshine	恶作剧
perverse	不正当
venerably	崇敬
milwaukee	密尔沃基
karachi	卡拉奇
attic	顶楼
homostyly	花柱等长
dynel	其商标名
pustular	脓疱
marginalize	使处于社会边缘
undoubtedly	的确地
vaporous	冒出蒸气
underprop	支撑物
salique	=Salic
pseudoinstruction'	NULL)
neglectful	忽略的
weasel	含糊其词
nonfulfillment	不完成
bedplate	床板
taffeta	平纹皱丝织品
volubilate	缠绕
solubilizer	增溶剂
sound	听力范围
aerocurve	曲翼飞机
aristocratic	贵族政治
merciful	仁慈
soporific	使人昏昏沉沉的东西
shipshape	井然有序
february	二月
maneating	食人的
ribbing	玩笑
holocrine	全浆分泌的
pensione	膳宿公寓
siderocyte	高铁红细胞
costive	小气的
ungrammatical	非文法的
lowerclassman	大学低年级学生
northeasterner	东北人
sbr	Rubber
purport	主旨
resultant	合成
temporarily	临时
endearing	令人钟爱的
aeromotor	飞机用发动机
unfixed	没确定的
intramarginal	边缘内
subhuman	近似人类
kinescope	电视节目录影
semibarbarous	=semibarbaric
syce	马倌
anemography	测风术
younger	较年轻的
enroll	参加
dainty	挑剔的
voguey	风行一时的
fireclay	火泥
linalool	沉香醇
undermeaning	言外之意
orphanage	孤儿身份
bursarial	会计员的
idyllize	使成为牧歌
archeology	考古学
pacemaker	起搏器
chumar	=chamar
lymphatism	淋巴体质
earldom	伯爵的身份
dropscene	收场
wolffish	狼鱼
humanization	教化
illusionless	无错觉
kheth	希伯莱文的第八个字母
resale	转售
phenolic	酚的
billy	尤指警棍
cajun	移居美国路易斯安纳州的法人后裔
constant	坚决
figuline	陶制
owi	Information作战新闻处
southward	向南
vibrometer	=vibrograph
out	使退场
thallus	扁平体
restlessly	慌张地
benthamic	功利主义的
omphalos	中心
informing	增长见闻的
luminize	涂发光物质于
plumpy	丰满
spence	思朋斯
nonelastic	无弹性
ergonomist	工作学者
joyhouse	妓院
unctuously	油腻地
preteen	接近青春期的
economist	节俭的人
interpupillary	瞳孔间
expressionistic	有表现派作风的
element	成分
cryptical	隐藏的
irrespective	不考虑的
jostle	推撞
scorbutic	坏血病患者
acini	acinus的复数
obsequial	葬礼
phosphatic	含磷酸盐的
swimmy	模糊的
undimmed	不模糊的
palaearctic	古北区的
sick	恶心
pilsener	比尔森啤酒
tessellation	棋盘形布置
kinglessness	无国王
pardner	朋友分享者
habitual	惯常
cookery	烹调术
roam	徘徊
orcadian	群岛的
kickback	回扣
rendition	表演
mimeo	=mimeograph
ab	Airborne
dubitant	半信半疑的
graphology	笔迹学
iconography	肖像学
lastness	最终性
jazz	喧吵的
valhalla	英烈祠
demand	需要
rehearse	复述
minicamera	=miniature
squamose	鳞状的
monostable	单稳的
balefire	烽火
riverine	河的
condensable	可压缩的
rendering	表演
recalcitrate	不服从
unaffected	未被感动的
headstone	基石
france	法国
maniacal	发狂
decinormal	分当量
daniela	丹妮拉
pungent	尖锐
steady	扎实
valedictory	告别
hound	带猎犬狩猎
custard	奶油蛋羹
porkbutcher	猪肉商
harrumph	鼻息
sidewise	向一边的
ferment	动乱
lumisome	发光体
brio	生动
bogle	可怕的人
dawdling	闲逛
coralline	珊瑚状动物
hypertonia	高渗性
clampdown	取缔
decipher	解释
chrismation	搽圣油
elope	潜逃
scavenge	以为食
unimplemented	未实现
megalopteran	广翅目昆虫
torpidness	冬眠
nummet	午饭
semicivilized	半开化的
unstudied	不懂的
idoneous	适合的
pigskin	猪皮
running	不断的
skinny	膜状的
enrich	加料于
nannyish	旧式的
faultily	不完美地
bargaining	讨价
cock	堆成锥形
cordwood	锯成4英尺长之木材
joust	斗争
think	预料
keramic	陶器
factice	油膏
lutz	后外钩点冰一周跳
quadrantal	四分仪的
transversal	横向的
stress	重音
buggy	多虫
largess	赏赐
predepression	经济萧条前的
was	be的过去式
scum	浮垢
anthropopathic	拟人的
confinement	产期
claver	闲谈
gloomy	黑暗
biquadrate	四次幂
raises	举起
wheelwright	车轮制造人
blanketyblank	该死
kalsomine	粉刷
impermissible	不允许
directoire	执政内阁时代式的
tubbish	肥胖
darch	doctor
fantabulous	极出色
clinique	门诊部
rswc	up
sackbut	竖琴的一种
straight	诚实的
sst	transport
pericles	伯里克利
sf	San
minty	有薄荷香
buttock	背摔
zoonomy	动物生理学
sod	铺草皮于
creedal	教义的
extrafloral	在花外
gynander	两性体
exception	例外
affectation	假装
innative	天生的
penates	家神
unidentifiable	无法辨认
excitant	兴奋剂
apocarpous	心皮离生的
multiparty	导致多党并存的选举制度的
fellowship	交情
prejudice	侵害
logograph	略字
sizzler	炎热天
hadhramautian	哈达拉毛语
hemothorax	胸腔积血
boughpot	大花瓶
cover	覆盖
asthmatoid	似气喘
seaware	作肥料用的海生植物
lonely	寂寞的
ostracean	牡蛎
solonchak	盐土
shiny	发亮的
languorous	没精打采
habitably	适于居住
ccitt	and
andante	缓慢
gaulish	高卢人
reclaimer	回收程序
investigative	研究的
deltoid	三角肌
tehran	德黑兰
mountain	山脉
villainous	罪恶
drosometer	露量计
doggo	一动也不动地
incendiary	煽动的
hypersurface	超曲面
lav	Armored
halothane	氟烷
exposed	暴露
rhinal	鼻的
teratogenicity	畸形形成性
nary	连……也没有的
eclogue	牧歌
bundu	未开化的乡区
algoid	海藻般的
sunna	伊斯兰教教规
smallsword	轻剑
cretinoid	矮呆病样的
henhearted	懦弱
reform	改革
goaty	好色
unhandily	笨拙地
sungari	River
lip	唇缘
lunge	刺进
generalization	普遍化
polymorphic	多态的
adrenodoxin	皮质铁氧还蛋白
diadelphous	两束花丝
unprofessional	非职业性的
regular	等边
eliot	埃利奥特
epithalamion	=epithalamium
cabernet	红葡萄酒
rifeness	普遍
vedic	吠陀的
adas	Advisory
excogitative	发明
uba	Burma
pail	桶
roseau	罗索
scandalmonger	专事诽谤的人
cardindex	将……记入卡片
uninfluential	没有影响的
inadvertency	不注意
fast	斋戒
worship	崇拜
surety	保证人
soapbark	皂树
lawmonger	恶讼师
tripey	废物似
propound	提议
dexterously	巧妙地
axillary	腋窝的羽翼
lactonize	使变为内酯
causation	原因
apologia	辩解书
out	下台的
temperate	戒酒
gruntle	咕哝
snubbingly	严厉斥责地
ridable	可以骑
clean	清白
autolithograph	^rAfIk/
niaiserie	愚笨
shim	n薄垫片
owi	of
wild	野性的
voiceover	画外音
spigot	套管
nes	elsewhere
goaty	淫乱的
pretrial	事先审理
credibly	可信地
unfearing	大无畏的
inheritance	遗产
flounderingly	挣扎地
determinative	限定的
liane	蔓生植物
sprint	疾跑
oxbridge	牛津与剑桥大学的
sidestream	smoke
sistrum	一种类似哗郎棒的乐器
sombre	阴沉
vane	变化不定的事物
cer	Encoding
starchy	淀粉
excruciate	折磨
ancestral	祖先的
indignantly	愤怒
defer	使延期
pittosporum	海桐花
solicitor	律师
macroscopic	巨观的
electronical	电子的
pashalik	pasha的领
around	四周
lophobranch	总鳃类
procrypsis	隐色
vegete	健康的
pirouette	脚尖旋转
idle	使空闲
hematogenesis	造血作用
pli	per
vendibility	市场价值
tunnage	吨数
psro	standards
cantabrize	效仿英国剑桥或剑桥大学
unroyal	不配为王
amputator	切断器
adcolumn	广告栏
oppilate	使便秘
godetia	高代花
frangipani	从鸡蛋花中提炼出来的香料
singlehanded	单手
pocket	装……在口袋里
variomatic	皮带驱动自动传递的
hives	麻疹
mischievous	为害
preface	为……写序言
undivided	未分开的
freshwater	淡水
molder	使腐朽
gippo	汤
activable	能被活化的
flyable	可驾驶的
furcula	弹器
oast	干烘炉
riffle	迅速翻书
diminishable	可削弱
oui	是的
bilirubin	胆红素
hypercorrect	矫枉过正
organotherapy	器官疗法
quarrel	争吵的原因
haroseth	赫罗塞思
sometimes	有时
ssfdc	Solid
porphyrize	把……研细
nasopharynx	鼻咽
bust	胸像
causality	因果关系
subscapular	肩胛前面的
bergsonian	柏格森主义者
hers	pro
dripless	不滴水
fagot	束薪
politely	斯文
proteolytic	蛋白水解
pyrochemical	高温化学的
favorably	好意
voyage	渡过
villainous	缺德
explanation	解说
tpilisi	=Tbilisi
gramary	魔术
lifesome	有力
undutiful	不孝
unconfessed	未供认的
diffidently	缺乏自信地
eleatic	埃里亚的
meshugaas	愚蠢
garrote	绞死
kiln	干燥炉
humidor	雪茄盒
cinchonidine	金鸡纳啶
overflow	溢出
labiate	唇形
pocket	衣袋
rakish	潇洒的
leisurable	悠闲的
abrasive	研磨剂
overfull	过度
carouser	大喝大闹的人
photonics	光子学
extraventricular	室外的
viscountess	子爵夫人
steam	水汽
polymeride	=polymer
slimsy	不耐穿的
hemoglobinuric	血色蛋白尿的
boll	圆荚
follow	接着
chockstone	山中裂缝中的岩石
myoelectric	肌电的
guianese	圭亚那地区的
nethermore	较深
plump	突然放下
whee	哟
dealership	代理权
oecd	of
armenian	亚美尼亚人的
urubu	黑秃鹫
mylohyoid	下颌舌骨的
recrement	渣滓
detail	详述
armorbearer	替骑士拿盔甲者
waterlog	涝灾
every	每隔……
superfluity	奢侈品
flanker	侧冲
detractress	女诽谤者
troubleproof	不生故障的
dealing	交易
mount	装上
horsey	马的
bani	动员令
perpendicularity	垂直
sheerlegs	人字起重架
oddly	奇特
millinormal	毫规
slip	有活结
commanderia	科姆马迪尔酒(塞浦路斯原骑士团辖区
oquassa	蓝背红点鲑
hydrolytic	产生水解
bear	具有
photomagnetic	光磁
spatulate	竹片状的
fictitious	假装
somber	阴天
birdcall	学鸟叫
fleecy	蓬松
narrow	海峡
etruscologist	伊特鲁里亚文化研究者
checked	选中
uat	联合海空运输公司
viscera	内脏
bumpily	扑通
uncorrupt	不腐败的
eightsome	轻快的八人舞蹈
chine	沿……脊骨剖开
cayuga	卡尤加人
disenable	使丧失资格
headrest	靠头之物
minicamera	camera
sandiver	玻璃沫
chemiluminescnet	化合光的
benzedrine	一种苏醒剂
directrice	女指挥
colcannon	爱尔兰菜肴的一种
nonferrous	非铁的
jocular	诙谐
unconditional	绝对
intraperitoneal	进入腹膜腔内
transparence	透明度
spherular	小球体
extraordinaire	非凡的
turnabout	回旋
weisswurst	小牛肉香肠
factorial	阶乘积
finisher	完工者
antemundane	世界形成以前的
pagan	异教徒
pop	通俗的
ardent	激烈的
semitic	闪族语系的
inure	生效
lease	租借
venomous	有毒腺的
holophrastic	以一个字显示整句意思
resinoid	树脂状
chorten	纪念碑
nin	祖母
unceremoniousness	无礼
threaten	恐吓
breechblock	尾栓
pungent	辛辣的
hereford	赫里福种的食用牛
primitive	原始
divestment	夺取
referrence	参见
gibeonite	卑微的劳动者
philomela	夜莺
cement	接合
tassel	用缨装饰
rheumatism	风湿
discharger	开释人
guanethidine	胍乙啶
thud	砰击声
petty	小器的
uniform	使穿制服
omphalos	脐
esl	as
fingertip	指套
armillary	手镯
become	变得
flannel	法兰绒衣服
pert	别致的
clapometer	掌声测量计
accommodationist	迁就的
insusceptibility	无感受性
daiker	摇摆
parky	寒冷的
fauxbourdon	假布尔东低音
grum	闷闷不乐
hearken	倾听
excrescence	赘生物
knifeboard	磨餐刀板
fiduciary	信托
induce	引起
attractive	吸引人
nellie	内尔
bloke	家伙
keramic	陶器的
toilless	容易的
kidling	小山羊
syphilitic	感染梅毒
comitadji	非正规兵团
histiocytic	组织细胞的
fit	健康的
superseniority	超资深
polyglot	数种语言
nundinal	古罗马市集日
schizogenous	裂殖生殖
petitioner	请求者
alluvion	冲积
deposable	可废除的
homeric	荷马时代的
appellation	称呼
inexpertness	拙劣
despiteously	可恨
spar	争吵
canvass	彻底检查
beneficially	受益
christly	如基督的
barytone	低音铜管乐器
pectinated	栉齿形的
asio	视频流输入输出
coolville	顶呱呱的
mylohyoid	下颌舌骨
behindhand	落后的
eleemosynary	接受接济的
vibriocidal	杀弧菌的
here	这里
homecoming	回老家
wysiwyg	What
rassle	角力
adieu	再会
methodism	教义和礼拜的方式
dm	Dominica
epileptogenic	致癫痫
lestobiotic	靠偷取异种动物为生的
unseriousness	不庄重
snobbish	势利
basaltoid	像玄武岩的
scrophulariaceous	玄参科
rectorship	教区长之职位及任期
destination	目的文件
pregenital	性器官发育前的
prelatic	高级教士
rival	竞争者
shetland	设得兰群岛
oaf	呆子
catechise	问答式教授
placental	有胎盘哺乳动物
aloof	孤零
comparative	相当
unlicked	不象样的
laziness	无精打采
pertly	傲慢
aliped	有翼膜
fleeceable	可以欺诈
buntal	金丝草
fragmental	破片
acquittance	清还证明书
wake	醒来
lactose	乳糖
issuable	可发行的
nucleonics	原子核物理学
receipt	收条
antimask	滑稽戏
eshaustibility	可用尽
subdolous	有点诡谲
consonant	协调一致
palingenesis	转生
touch	触
cupbearer	斟酒人
copasetic	=copacetic
famed	闻名
battue	大屠杀
ephemera	蜉蝣
creasy	皱纹多
auxotrophy	营养缺陷体
polydirectional	多方向
blare	号声
urinalysis	验尿
secondman	助理驾驶员
shampoo	洗发香波
fixing	安装
complimentary	夸奖的
cephalous	有头
blustering	狂风大作的
jumbly	混杂的
dancetty	锯齿形的
screaming	尖叫
wrangle	吵嘴
blaspheme	亵渎
waw	=vav
lawny	草坪的
suitably	相称地
leechcraft	医术
jaunty	洋洋得意
ogle	抛媚眼
opec	Countries
hindustan	印度
lewd	猥亵
rosulate	成玫瑰花形排列的
rhizomorphous	根状的
bolt	逃跑
electricize	充电
cloudling	小云
domesticity	家庭生活
plc	股票上市公司
bemock	讥笑
evolutive	演化
fst	Technology
epigamic	诱惑性的
imperfect	有缺点
yamato	日本人的
moistness	湿
aic	American
crate	柳条箱
eggcup	蛋杯
municipality	自治市
unconstrained	不受拘束
gryphon	半狮半鹫的怪兽
spinoff	将子公司股票分配给母公司股东
eleusinian	Eleusis
intrepidly	勇猛
portfolio	部长职务
contralateral	对侧的
gpl	通用公共许可协议
pluto	冥王星
synodic	相合的
callan	少年们
kirk	教会
pesticidal	杀虫的
wilderness	荒野
secretory	促分泌的
hindooize	=Hinduize
mismatch	使配合不当
renig	=renegue
calefaction	发暖
human	人
duykerbok	=duiker
russia	苏联
juvenescent	变年轻
fredericton	弗雷德里克顿
corkily	喜不自禁
permissively	自由
amfortas	安福塔斯
osteotomy	截骨术
redbug	沙蚤
pashalik	pasha的领地
unfatherly	不像父亲
hidden	隐藏的
multifactor	多种因素的
townhouse	市政厅
damnably	厉害
gibbon	长臂猿
embellish	修饰
ambivert	中向性格者
solicitudinous	担忧的
fenian	芬尼亚主义的
immoderately	无节制的
trust	切望
kewpie	其商标名
powwow	仪式
chatterbox	喋喋不休者
semicoma	轻昏迷
fore	前部
epicritic	精细觉
unharmful	不致伤
amidone	=methadone
hurl	愤慨地说出
madcap	狂妄的
palatably	称心愉快地
whist	安静
knockabout	到处闲荡
asc	state
ideation	构思过程
unbodied	离去躯体的
glace	冰冻的
bringdown	使人失望的事物
isotron	同位素分析器
hideous	骇人听闻
cottonize	使成绵状
unbroken	继续的
disfigure	使变丑
laurel	殊荣
hearsay	传闻
agiotage	证券投机
mustardy	芥末
veteran	退伍军人
gurglet	=goglet
digitate	指状
tillable	适于耕种
recharge	再袭击
troop	群
rabbet	榫头
rigor	严格
intranational	国内
weston	cell韦斯顿标准电池
inesculent	不可食用的
possessory	所有者的
raptorial	猛禽类
mezzo	中间的
exterior	外在的
diemaker	制模工
perigon	三百六十度角
enhancive	增加
ipa	国际语音学协会
barrelful	大量
baroness	男爵夫人
undistinguishable	难区分
allantoid	尿囊样
s3	S3公司
dehydration	脱水
bitterly	悲痛
hardware	部件
serrulate	细锯齿状
remarkably	引人注目
decad	十
representability	可被代表
shaven	shave的过去分词
bored	烦人的
pythonic	预言
doubtfully	怀疑地
ddn	Service
coarsely	质地粗糙
creamcups	一种罂粟科植物
statesmanlike	有政治家之身份的
filasse	植物纤维
nourishing	滋养多
spark	花花公子
micronucleus	小核
reproachless	无可非议
epndb	effective
topographical	形学
tamizdat	塔密兹达
trover	取得
gauzily	薄地
redhibition	买卖无效
msj	of
dpi	dot
qualificative	修饰
demibastion	半棱堡
nitrogenous	氮
exclusive	唯我独尊
mspe	Education
dolce	温柔的
cannular	管的
milkman	送奶工人
centre	中心区
immunoassay	免疫测定
netful	满网
mancunian	曼彻斯特人
sketch	略图
like	如同
wonder	对……感到惊讶
ambulatory	走动的
faldstool	无靠背的椅子
begrudge	舍不得给
export	出口货
irvingite	使徒公教会信徒
geophysicist	地球物理学者
divisional	师的除法
automatous	机器人
immorality	无道义
centennially	每百年一次
fiery	火焰的
laotian	老挝人
bir	Board
domical	圆顶式结构
flannel	法兰绒
catalysis	催化作用
retired	退役
eventful	变故多
proscription	放逐
slighting	忽视的
hdd	硬盘驱动器
callao	卡亚俄
espouse	嫁娶
psychopathia	精神变态
atman	自我
delawarean	特拉华州
surge	振荡
inscrutability	不可思议
flavorful	充满……味道
quarrel	吵架
hypnogenetic	催眠
horsefly	马蝇
neoterism	新字
man	人
prepreg	预浸料坯
palaver	谈话
considered	被尊重的
scopulate	帚形
minicell	微细胞
downcourt	前场篮下方向
wheezy	老生常谈
apodictic	明白
reflex	反省的
sickening	令人作呕的
characterless	平凡
unbacked	未驯服
lrv	vehicle
wingover	跃升转弯半滚倒转
athenian	雅典人
mire	陷入
context	文章的前后关系
atwitter	兴奋的
derby	英国中部的都市
wake	守夜
antidiphtheritic	预防白喉的
indiscretion	轻举妄动
heiress	女性继承人
solemnly	严肃地
adjunction	附加物
unfatherly	严厉的
bacteroid	似细菌
interlude	圣诗等两段之间之间歇
objectivism	客观主义
colorplate	彩色版
pneumorrhagia	肺出血
odour	意味
ruminator	沉思默想的人
ducky	极为愉快的
abridgable	可以删节
overwash	淹没
ethanolamine	氨基乙醇
unreconstructed	旧思想
spreathed	发红
fictionally	编造
obligate	使负义务
overclothes	外衣
etherealize	化成醚
clairaudient	有超人听力的
snobbism	势利
uterine	同母异父的
declutch	使停转
ismailiya	=Ismailia
barilla	苏打灰
capelin	香鱼科的小海鱼
hitlerian	希特勒的
earnest	重要的
rube	土里土气的
chocolaty	如巧克力般
groundling	没鉴赏力的低俗观众
trying	难受的
easement	缓和
myrmecophagous	食蚁的
thowless	呆滞
swoose	天鹅鹅
anchorite	隐者
farrago	混杂
equilibrist	走绳索者
actress	女演员
hawaiian	夏威夷
petty	不重要
hobodom	流浪者生活
ostracise	=ostracize
sphacelus	脱疽
laevulin	菊芋糖
roric	似露水的
ebullient	热情洋溢的
shopper	购物者
expand	发展
medical	药的
schumpeterian	熊彼特
concorde	协和式飞机
calcific	石灰质的
pustulate	生脓疱的
discretional	任意的
lunary	月亮的
anglophobia	反英
retrieval	修补
xenate	氙酸盐
ruler	划线板
episcopature	主教团
isometric	等容积的
executant	执行者
automatic	无意识的
precept	规则
furl	卷起之物
autolithograph	直接平版画
supergravity	超引力
tophus	痛风石
totter	蹒跚的步子
eurithermophile	能在摄能在摄氏零下30度氏零下30度与60度与60度之间存活的之存活
catstep	陡坡上建的窄阶
outcast	被排斥
irrepressibly	镇压不住
bond	联结
kingship	王权
campaign	作战
dissentious	好争论
posterolateral	后外侧的
message	讯息
intimidation	胁迫
ekpwele	=ekuele
tail	限定继承的
dormin	脱落酸
book	卷
engarb	给……穿衣
auriferous	产金的
etic	非位的
disproof	反证
tame	没精打彩的、顺从的
unmoor	解缆
debride	清除
toolroom	工具室
slighting	轻视的
gelandesprung	滑雪者越过障碍物之腾越
hegemonical	=hegemonic
voyageable	能航行
article	清楚说出
bulletin	报告
triptane	三甲基丁烷
depressingly	郁闷地
girlygirly	过于忸怩作态的
cubage	容积
fecundate	使多产
aeolipile	汽转球
equilibrator	保持平衡物
leaden	沉闷的
chromatin	染色质
regild	再镀金于
locksmithing	锁匠工作
convertite	改变信仰者
toothpick	牙签
terminative	结束的
opposeless	难抵抗的
vehemently	激烈地
circusiana	马戏大全
informing	增长见闻
nurture	营养品
fructiferous	结果实的
satanic	邪恶的
msy	yield
ngbandi	恩巴恩迪语(中非共和国和北扎伊尔的一种班图
retrofire	点火发动
microtasking	微任务化
transient	瞬时现象
antifreezing	抗凝的
unminished	=undiminished
eschar	焦痂
benedictory	祝福的
etymology	语源学
biochemistry	生物化学
multocular	多眼的
lactoprotein	乳蛋白质
subinfeudation	分封
infirm	弱
zabaglione	意大利菜肴
troposphere	对流层
witticism	妙语
theocentric	以上帝为中心
ruben	鲁本
gat	狭航道
frizzle	炸得吱吱响
hostie	=air
triethanolamine	三乙醇胺
vaginate	有鞘的
dicastery	由审判官组成的法院
portacaval	门腔静脉
nauseant	呕吐剂
flint	燧石
representor	陈述者
delustre	使退光
jehovist	旧约圣经初六卷
supervenient	伴随产生的
catherine	凯瑟琳
amnicolous	栖沙滩
xcv	95
unclimbable	不可攀登的
postfactor	后因子
spender	挥金如土的人
lixivial	碱汁的
mut	杂种狗
hydrolab	水下实验室
knottiness	困难
subsistent	现存的
ostleress	料理马匹的女人
excurved	弯曲
thromboendarterectomy	血栓动脉内膜切除术
wadding	棉胎
grotto	人工洞室
talmudic	犹太法典的
zoom	突然扩大
dicker	十个
theft	行窃
despondency	失望
unboot	替……脱下长统靴
justification	释罪
mesosome	间体
cogged	齿轮
ribband	防滑材
remedially	矫正地
rope	绳
danish	丹麦的
elegance	高雅
bead	水珠
raid	Array
quingentenary	五百年
breadth	幅
quick	感觉敏锐的部位
dedicatory	献纳
crampon	攀登用鞋底钉
daftness	愚笨
evenness	平坦
rockoon	气球火箭
femininely	娇弱地
unfenced	没有防备的
slumberous	昏昏欲睡的
wrest	费力取
skyphos	双耳大饮杯
pardonably	可原谅
unverbalized	未用言辞表达的
disrespect	失礼
intrepidress	大胆
thionine	劳氏紫
tdma	Multiple
eht	超高压
adulteress	奸妇
grisaille	纯灰色画
uninstall	卸载
inkosi	老爷
analogously	近似
awake	领会
salute	升降旗致敬
cottonopolis	棉都
unwelcome	讨厌
peritectic	转熔的
nummary	货币
shavetail	新任的陆军少尉
televisionless	不看电视的
mudcap	糊炮爆破
intercommunal	社区之间的
interplait	使缠结
aciculate	针状
devotional	献身的
numidian	努米底亚
fatness	油腻
reflect	表现
deformable	可变形的
extramarginal	意识以外
bashful	害羞的
resemblant	摹仿的
archdukedom	大公国
starched	硬挺的
reject	被拒之人
molybdenite	辉钼矿
natruresis	=natriuresis
amr	Modem
langobardic	伦巴第
rutilant	发红色火光
nougat	奶油杏仁糖
refer	查阅
pledge	使发誓
backscattering	反散射
warrant	委任状
scarves	领带
incurrent	流入
selkirkshire	塞尔扣克郡
rumpless	无尾椎的
poll	获得选票
unmatched	不相配的
isostasy	地壳均衡说
infuscated	被弄糊涂
preproduction	生产前
aeolian	风蚀
rotc	后备军官训练队
actiniform	放射形
complaisant	殷勤的
kiaugh	苦恼
fashioned	……式
whacking	惊人
harvardian	哈佛大学的学生
landward	近陆的
flubdubbed	笨拙
flintiness	坚硬
aperiodically	不定期地
quadruplane	四翼飞机
rule	统治
polygamous	一夫多妻的
attack	攻击
tennessean	美国田纳西州
mesh	网眼
brass	厚脸皮
dugout	棒球场边供球员休息的地方
deodorise	=deodorize
paratonic	外来刺激引起的
surrealistically	超现实主义地
asset	资产
accommodationist	迁就
chorography	地方志
dry	干燥的
polyvalent	多价
spinet	古时的小型竖琴
untillable	不能耕种
ecaudate	无尾的
ranter	大叫大嚷的人
set	置
